numThreads	recordSize(B)	Average throughput	Standard deviation
1		65536		9.2136425		0.330256553407726
1		1048576		59.43895		6.93637322399105
1		16777216	95.7475			16.7880869145356
2		65536		9.7011925		0.191388869500684
2		1048576		60.630175		1.03156307217494
2		16777216	94.6708			2.64382181415466
4		65536		11.462175		0.430119084527762
4		1048576		61.84955		1.22019873893559
4		16777216	94.0807			1.46570631949242
8		65536		13.219375		0.451819047711581
8		1048576		61.935375		0.947859547546471
8		16777216	89.54565		1.42750068388775
12		65536		13.94935		0.15747724438788
12		1048576		62.30915		0.699643000036448
12		16777216	85.514425		0.956913933891131
24		65536		16.345325		0.20096788767114
24		1048576		61.4984			0.755856246253214
24		16777216	85.7383			0.763943299597553
48		65536		18.060975		0.43634522098334
48		1048576		62.257425		0.340645801199723
48		16777216	85.476475		1.06106040444218

