numThreads	recordSize(B)	Average throughput	Standard deviation
1		65536		93.436275		13.6565695427832
1		1048576		117.157175		11.8103124955217
1		16777216	182.1105		27.7305234489001
2		65536		95.438675		1.962993664502
2		1048576		127.079			4.88038743339092
2		16777216	187.78275		4.39231609603635
4		65536		97.0879			1.84838659511478
4		1048576		128.07275		3.18114377032852
4		16777216	191.08425		2.60700818707959
8		65536		87.6165			0.865410838850541
8		1048576		122.90025		0.278483729327229
8		16777216	177.42675		2.44206299826602
12		65536		80.1686			0.145127995231795
12		1048576		127.88775		1.24833236259419
12		16777216	169.96275		0.919013975682636
24		65536		73.832225		0.657579357853484
24		1048576		127.4285		0.530155401745567
24		16777216	162.093			2.86797236737037
48		65536		73.9965			1.13836527309998
48		1048576		125.301			0.842217014788945
48		16777216	163.36075		1.22215514052023

