numThreads, recordSize(B), throughput(MB/s),,numThreads, recordSize(B), throughput(MB/s),,numThreads, recordSize(B), throughput(MB/s),,numThreads, recordSize(B), throughput(MB/s)
1,65536,9.48019,,1,65536,9.40945,,1,65536,9.31413,,1,65536,8.6508
1,1048576,63.9194,,1,1048576,63.5034,,1,1048576,62.8915,,1,1048576,47.4415
1,16777216,106.127,,1,16777216,106.267,,1,16777216,103.88,,1,16777216,66.716
2,65536,9.63326,,2,65536,9.67241,,2,65536,9.4884,,2,65536,10.0107
2,1048576,61.1232,,2,1048576,60.2914,,2,1048576,59.159,,2,1048576,61.9471
2,16777216,92.7515,,2,16777216,94.2418,,2,16777216,92.5789,,2,16777216,99.111
4,65536,11.3149,,4,65536,11.2434,,4,65536,11.0959,,4,65536,12.1945
4,1048576,62.1184,,4,1048576,60.5807,,4,1048576,60.976,,4,1048576,63.7231
4,16777216,95.4317,,4,16777216,93.6803,,4,16777216,91.851,,4,16777216,95.3598
8,65536,13.751,,8,65536,13.339,,8,65536,13.2859,,8,65536,12.5016
8,1048576,63.5034,,8,1048576,61.6637,,8,1048576,61.6196,,8,1048576,60.9548
8,16777216,91.5407,,8,16777216,90.0366,,8,16777216,88.9506,,8,16777216,87.6547
12,65536,14.1819,,12,65536,13.8686,,12,65536,13.7571,,12,65536,13.9898
12,1048576,63.5146,,12,1048576,61.8108,,12,1048576,61.8984,,12,1048576,62.0128
12,16777216,86.7273,,12,16777216,86.1082,,12,16777216,84.2893,,12,16777216,84.9329
24,65536,16.6907,,24,65536,16.2132,,24,65536,16.2709,,24,65536,16.2065
24,1048576,61.9529,,24,1048576,60.2083,,24,1048576,62.0968,,24,1048576,61.7356
24,16777216,86.74,,24,16777216,84.6067,,24,16777216,85.9483,,24,16777216,85.6582
48,65536,18.0962,,48,65536,18.2415,,48,65536,18.5466,,48,65536,17.3596
48,1048576,62.7038,,48,1048576,61.7467,,48,1048576,62.3212,,48,1048576,62.258
48,16777216,87.0671,,48,16777216,85.5923,,48,16777216,85.1252,,48,16777216,84.1213
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
numThreads, recordSize(B),Average throughput,Standard deviation,,,,,,,,,,,
1,65536,9.2136425,0.330256553407726,,,,,,,,,,,
1,1048576,59.43895,6.93637322399105,,,,,,,,,,,
1,16777216,95.7475,16.7880869145356,,,,,,,,,,,
2,65536,9.7011925,0.191388869500684,,,,,,,,,,,
2,1048576,60.630175,1.03156307217494,,,,,,,,,,,
2,16777216,94.6708,2.64382181415466,,,,,,,,,,,
4,65536,11.462175,0.430119084527762,,,,,,,,,,,
4,1048576,61.84955,1.22019873893559,,,,,,,,,,,
4,16777216,94.0807,1.46570631949242,,,,,,,,,,,
8,65536,13.219375,0.451819047711581,,,,,,,,,,,
8,1048576,61.935375,0.947859547546471,,,,,,,,,,,
8,16777216,89.54565,1.42750068388775,,,,,,,,,,,
12,65536,13.94935,0.15747724438788,,,,,,,,,,,
12,1048576,62.30915,0.699643000036448,,,,,,,,,,,
12,16777216,85.514425,0.956913933891131,,,,,,,,,,,
24,65536,16.345325,0.20096788767114,,,,,,,,,,,
24,1048576,61.4984,0.755856246253214,,,,,,,,,,,
24,16777216,85.7383,0.763943299597553,,,,,,,,,,,
48,65536,18.060975,0.43634522098334,,,,,,,,,,,
48,1048576,62.257425,0.340645801199723,,,,,,,,,,,
48,16777216,85.476475,1.06106040444218,,,,,,,,,,,
