WR(IOPS) Benchmark
numThreads    recordSize(B)	Throughput(OSP/s)
1    4KB    12961.4
2    4KB    12312.4
4    4KB    12760.1
8    4KB    25483
12    4KB    24085.3
24    4KB    25488
48    4KB    24281.6
WS Benchmark
numThreads    recordSize(B)	Throughput(MB/s)
1    65536    89.7506
1    1048576    82.3191
1    16777216    79.476
2    65536    75.395
2    1048576    73.2402
2    16777216    68.7465
4    65536    70.6285
4    1048576    69.0539
4    16777216    64.4808
8    65536    63.1537
8    1048576    62.3607
8    16777216    60.5401
12    65536    55.6806
12    1048576    52.7533
12    16777216    68.2899
24    65536    91.9499
24    1048576    82.5727
24    16777216    85.0484
48    65536    82.1705
48    1048576    77.866
48    16777216    78.5282
WR Benchmark
numThreads    recordSize(B)	Throughput(MB/s)
1    65536    72.3016
1    1048576    69.7448
1    16777216    65.5591
2    65536    61.7224
2    1048576    59.0062
2    16777216    55.7695
4    65536    54.2902
4    1048576    48.7847
4    16777216    79.6844
8    65536    88.912
8    1048576    81.1121
8    16777216    79.6559
12    65536    78.0405
12    1048576    74.8183
12    16777216    73.11
24    65536    71.7383
24    1048576    67.9753
24    16777216    67.5618
48    65536    64.5003
48    1048576    60.9332
48    16777216    58.835
