Linux 4.15.0-96-generic (team25-hw6) 	04/25/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:30:55    64055      4870    0.00   16.00  100.00    0.00    7.77    21     17.00      0.00 59554040 33594664  17.09      0.00     60.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:30:56    64055      4870    5.00   41.00  100.00    0.00    5.32    21   2730.00      0.00 59554040 33594664  17.09      0.00 232992.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:30:57    64055      4870   24.00   70.00  100.00    1.00    5.62    21     30.00      0.00 59554040 33594664  17.09      0.00 484864.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:30:58    64055      4870   25.00   64.00  100.00    0.00    5.19    21     28.00      0.00 59554040 33594664  17.09      0.00 419840.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:30:59    64055      4870   22.00   69.00  100.00    0.00    5.08    21     19.00      0.00 59554040 33594664  17.09      0.00 425160.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:31:00    64055      4870   18.00   83.00  100.00    0.00    5.21    23     32.00      0.00 59554040 33594664  17.09      0.00 435512.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:31:01    64055      4870   10.00   90.00  100.00    0.00    5.25    24     21.00      0.00 59554040 33594664  17.09      0.00 399520.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:31:02    64055      4870   22.00   80.00  100.00    0.00    5.38    24     21.00      0.00 59554040 33594664  17.09      0.00 438756.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:31:03    64055      4870   15.00   97.00  100.00    0.00    5.50    24     24.00      0.00 59554040 33594664  17.09      0.00 437788.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:31:04    64055      4870   14.00   91.00  100.00    0.00    5.62    24     14.00      0.00 59554040 33594664  17.09      0.00 448544.00      0.00       0  qemu-system-x86

