Linux 4.15.0-96-generic (team25-hw6) 	04/24/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:46:47    64055      4870    0.99    7.92  100.00    0.00    3.11    17     25.74      0.00 59480276 33594476  17.09      0.00     31.68      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:46:48    64055      4870    8.00   17.00  100.00    0.00    7.34    17     13.00      0.00 59480276 33594476  17.09      0.00     64.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:46:49    64055      4870    5.00   19.00  100.00    0.00    5.95    17   1507.00      0.00 59480276 33594476  17.09      0.00 165408.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:46:50    64055      4870   19.00   68.00  100.00    0.00    5.61    17     30.00      0.00 59480276 33594476  17.09      0.00 499648.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:46:51    64055      4870   14.00   86.00  100.00    0.00    5.98    17     30.00      0.00 59480276 33594476  17.09      0.00 535208.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:46:52    64055      4870   12.00   93.00  100.00    0.00    7.00    17    165.00      0.00 59480276 33594488  17.09      0.00 705532.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:46:53    64055      4870   17.00   85.00  100.00    0.00    6.63    17    101.00      0.00 59480276 33594488  17.09      0.00 628596.00      0.00       0  qemu-system-x86

