Linux 4.15.0-96-generic (large_instance) 	04/20/20 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:53     1000     11640   20.00   79.00    0.00    0.00    6.18     0 349954.00      0.00 2514028 1402416   4.26      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:54     1000     11640   27.00   73.00    0.00    0.00    6.27     0 292956.00      0.00 2585308 2574604   7.82  63856.00      4.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:55     1000     11640   49.00   49.00    0.00    0.00    6.15     0 104521.00      0.00 3003352 2992780   9.09 373248.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:56     1000     11640   43.00   57.00    0.00    0.00    6.26     0 104669.00      0.00 3422056 3411220  10.36 373888.00      0.00      0.00       2  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:57     1000     11640   45.00   53.00    0.00    0.00    6.15     0 105482.00      0.00 3844060 3833356  11.64 376704.00      0.00      0.00       1  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:58     1000     11640   37.62   60.40    0.00    0.00    6.21     0 103049.50      0.00 4260256 4249684  12.90 368031.68      0.00      0.00       1  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:59     1000     11640   47.00   52.00    0.00    0.00    6.21     0  99666.00      0.00 4659028 4648324  14.11 355968.00      0.00      0.00       1  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:05:00     1000     11640   44.00   55.00    0.00    0.00    6.20     0 101178.00      0.00 5063740 5053036  15.34 361344.00      0.00      0.00       1  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
