Linux 4.15.0-96-generic (ubuntu) 	04/26/20 	_x86_64_	(4 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:34     1000     22097    7.00   91.00    0.00    0.00   24.62     2 177945.00      0.00 2905444  713384   8.73 542376.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:35     1000     22097    8.00   91.00    0.00    1.00   25.19     2 183854.00      0.00 2905444 1448888  17.74 556772.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:36     1000     22097  100.00   52.00    0.00    0.00   56.89     2 133149.00      0.00 2995568 1981152  24.26 378376.00      0.00      0.00       1  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:37     1000     22097  100.00    2.00    0.00    1.00   99.50     2   7385.00      0.00 2995568 2010456  24.62      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:38     1000     22097  100.00    2.00    0.00    0.00   99.50     2  14772.00      0.00 2995568 2069328  25.34      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:39     1000     22097  100.00    1.00    0.00    0.00  100.00     2   1848.00      0.00 2995568 2076720  25.43      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:40     1000     22097  100.00    4.00    0.00    1.00   99.50     2   9234.00      0.00 2995568 2113680  25.88      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:41     1000     22097  100.00    2.00    0.00    0.00   99.25     2  11077.00      0.00 2995568 2158032  26.42      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:42     1000     22097  100.00    3.00    0.00    1.00   99.75     2   9725.00      0.00 2995568 2196840  26.90      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:43     1000     22097  100.00   15.00    0.00    0.00   96.00     2  54325.00      0.00 2995568 2414376  29.56      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:44     1000     22097  100.00   16.00    0.00    0.00   47.37     2   9252.00      0.00 3061104 2451336  30.01      0.00 121888.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:45     1000     22097  100.00   17.00    0.00    0.00   41.46     2   7021.00      0.00 3061104 2479584  30.36      0.00 162276.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:46     1000     22097  100.00   19.00    0.00    1.00   40.81     2  17532.00      0.00 3061104 2549808  31.22      0.00 168384.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:42:47     1000     22097  100.00   21.00    0.00    0.00   41.81     2  22631.00      0.00 3061104 2640360  32.33      0.00 187956.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
