Linux 4.15.0-96-generic (large_instance) 	04/24/20 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:06     1000      2589   10.00   89.00    0.00    0.00    6.20     6 206063.00      1.00 24713684  825972   2.51 644804.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:07     1000      2589  100.00   54.00    0.00    0.00   23.23     6 126079.00      0.00 24967664 1329392   4.04 331852.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:08     1000      2589  100.00   11.00    0.00    0.00   50.03     6  19244.00      0.00 24967664 1406480   4.27      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:09     1000      2589  100.00   16.00    0.00    0.00   44.71     6  40049.00      0.00 24967664 1566200   4.75      0.00   5732.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:10     1000      2589  100.00   40.00    0.00    0.00   19.46     6  36703.00      0.00 24967664 1713512   5.20      0.00 115200.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:11     1000      2589  100.00   36.00    0.00    0.00   19.18     6  40684.00      0.00 24967664 1876136   5.70      0.00 130644.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:12     1000      2589  100.00   46.00    0.00    0.00   18.64     6  32542.00      0.00 24967664 2005760   6.09      0.00 124276.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:13     1000      2589  100.00   32.00    0.00    0.00   14.77     6  27766.00      0.00 24967664 2117168   6.43      0.00 151084.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:14     1000      2589  100.00   24.00    0.00    0.00   10.69     6  13737.00      0.00 24967664 2172344   6.60      0.00 175192.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:15     1000      2589  100.00   27.00    0.00    0.00    8.93     6   6972.00      0.00 24967664 2199800   6.68      0.00 175656.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:35:16     1000      2589   64.00   36.00    0.00    0.00    6.28     6   6907.00      0.00  239576    2316   0.01      0.00  98780.00      0.00      20  sort

