Linux 4.15.0-96-generic (large_instance) 	04/20/20 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:56:57     1000     12484   18.81   79.21    0.00    0.00    6.18    14 265053.47      0.00 2514028 1073464   3.26      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:56:58     1000     12484   15.00   85.00    0.00    0.00    6.25    14 243645.00      0.00 2514028 2048152   6.22      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:56:59     1000     12484   28.00   65.00    0.00    0.00    5.82    14 150402.00      0.00 2660680 2649772   8.04 131184.00      4.00      0.00       4  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:57:00     1000     12484   27.00   50.00    0.00    0.00    4.82    14  54418.00      0.00 2878348 2867572   8.71 194304.00      0.00      0.00      25  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:57:01     1000     12484   35.00   65.00    0.00    0.00    6.27    14  84411.00      0.00 3216004 3205228   9.73 301440.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:57:02     1000     12484   38.00   59.00    0.00    1.00    6.07    14  86604.00      0.00 3562372 3551596  10.78 309376.00      0.00      0.00       2  mySort

