Linux 4.15.0-96-generic (large_instance) 	04/24/20 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:26     1000      1647   15.00   84.00    0.00    0.00    6.20    15 260720.00      0.00 2514028 1045544   3.17      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:27     1000      1647   15.00   85.00    0.00    0.00    6.26    15 247142.00      0.00 2514028 2034224   6.18      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:28     1000      1647   17.00   58.00    0.00    0.00    4.69    15 131814.00      0.00 2572372 2561660   7.78  52336.00      4.00      0.00      23  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:29     1000      1647   26.00   26.00    0.00    0.00    3.26    15  26601.00      0.00 2678764 2668052   8.10  94976.00      0.00      0.00      49  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:30     1000      1647   23.00   22.00    0.00    0.00    2.82    15  18809.00      0.00 2754004 2743292   8.33  67200.00      0.00      0.00      54  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:31     1000      1647   28.00   35.00    0.00    0.00    3.94    15  42007.00      0.00 2922040 2911196   8.84 150016.00      0.00      0.00      37  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:32     1000      1647   23.00   26.00    0.00    0.00    3.07    15  23400.00      0.00 3015628 3004916   9.12  83584.00      0.00      0.00      53  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:33     1000      1647   22.00   19.00    0.00    0.00    2.57    15  15790.00      0.00 3078856 3068012   9.31  56320.00      0.00      0.00      58  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:34     1000      1647   17.00   21.00    0.00    1.00    2.39    15  12537.00      0.00 3129016 3118172   9.47  44800.00      0.00      0.00      61  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:25:35     1000      1647   23.00   28.00    0.00    0.00    3.19    15  17155.00      0.00 3197524 3186812   9.68  61312.00      0.00      0.00      49  mySort

