Linux 4.15.0-96-generic (ubuntu) 	04/26/20 	_x86_64_	(4 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:02     1000     21606   28.00   71.00    0.00    0.00   25.00     0 210224.00      0.00  854584  843856  10.33 192624.00      4.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:03     1000     21606   45.00   55.00    0.00    0.00   25.25     0 110685.00      0.00 1297312 1286584  15.75 395264.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:04     1000     21606   53.00   45.00    0.00    0.00   24.62     0 120177.00      0.00 1777924 1767328  21.64 429312.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:05     1000     21606   43.00   57.00    0.00    1.00   25.19     1 100156.00      0.00 2178544 2167816  26.54 357632.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:06     1000     21606   40.00   60.00    0.00    0.00   25.06     1 102290.00      0.00 2587744 2577016  31.55 365312.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:07     1000     21606   72.00   27.00    0.00    1.00   25.00     2  59697.00      0.00 2826532 2815936  34.48 213120.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:08     1000     21606  100.00    0.00    0.00    0.00   25.06     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:09     1000     21606  100.00    0.00    0.00    0.00   25.06     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:10     1000     21606   99.00    0.00    0.00    0.00   24.81     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:11     1000     21606  100.00    0.00    0.00    1.00   25.00     2      1.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:12     1000     21606  100.00    0.00    0.00    0.00   25.00     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:13     1000     21606  100.00    0.00    0.00    0.00   25.06     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:14     1000     21606  100.00    0.00    0.00    0.00   25.13     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:15     1000     21606   99.00    0.00    0.00    1.00   24.81     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:16     1000     21606  100.00    0.00    0.00    0.00   25.06     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:17     1000     21606  100.00    0.00    0.00    0.00   25.13     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:18     1000     21606   99.00    0.00    0.00    0.00   24.81     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:19     1000     21606  100.00    0.00    0.00    0.00   25.00     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:20     1000     21606  100.00    0.00    0.00    1.00   25.06     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:21     1000     21606  100.00    0.00    0.00    0.00   25.25     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:22     1000     21606  100.00    0.00    0.00    0.00   24.94     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:23     1000     21606   99.00    0.00    0.00    0.00   24.87     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:24     1000     21606  100.00    0.00    0.00    1.00   25.00     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:20:25     1000     21606  100.00    0.00    0.00    0.00   25.06     2      0.00      0.00 2826532 2815936  34.48      0.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
