Linux 4.15.0-96-generic (team25-hw6) 	04/25/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:13    64055      4870    4.00   42.00  100.00    0.00    5.49     1     78.00      0.00 59521256 33594536  17.09      0.00 131628.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:14    64055      4870    8.00    6.00  100.00    0.00    4.99     3     38.00      0.00 59521256 33594536  17.09      0.00      4.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:15    64055      4870    0.00   18.00   10.00    0.00    0.50     3      5.00      0.00 59521256 33594536  17.09      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:16    64055      4870    2.00   15.00   33.00    0.00    1.04     3     28.00      0.00 59521256 33594536  17.09      0.00    120.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:17    64055      4870   19.00  100.00  100.00    0.00   16.64    21   3982.00      0.00 59521256 33594544  17.09      0.00     52.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:18    64055      4870   19.00  100.00  100.00    0.00   11.41    21   6907.00      0.00 59521256 33594544  17.09      0.00     36.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:19    64055      4870    1.00   10.00  100.00    0.00    3.19    21     89.00      0.00 59521256 33594544  17.09      0.00     64.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:20    64055      4870    9.00   66.00  100.00    0.00    8.83    21     38.00      0.00 59521256 33594544  17.09      0.00 131696.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:21    64055      4870    0.00   16.00  100.00    0.00    6.37    21    414.00      0.00 59521256 33594544  17.09      0.00    192.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:22    64055      4870    1.00   10.00  100.00    0.00    2.71    21    939.00      0.00 59521256 33594544  17.09      0.00      8.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:23    64055      4870   10.00    2.00  100.00    0.00    2.54    21   1207.00      0.00 59521256 33594544  17.09      0.00  36248.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:58:24    64055      4870    4.00   85.00   71.00    0.00    3.34    21    154.00      0.00 59521256 33594544  17.09      0.00 200972.00      0.00       0  qemu-system-x86

