Linux 4.15.0-96-generic (team25-hw6) 	04/25/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:07    64055      4870   20.00   75.00  100.00    0.00    5.71    11     17.00      0.00 59570432 33594572  17.09      0.00 516096.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:08    64055      4870   24.00   65.00  100.00    0.00    6.16    11    238.00      0.00 59570432 33594572  17.09      0.00 558592.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:09    64055      4870   15.00   99.00  100.00    0.00    5.87    11     17.00      0.00 59570432 33594572  17.09      0.00 464896.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:10    64055      4870   17.00   88.00  100.00    0.00    5.59    11     23.00      0.00 59570432 33594572  17.09      0.00 458604.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:11    64055      4870   19.00   89.00  100.00    0.00    5.48    36    402.00      0.00 59570432 33594572  17.09      0.00 408144.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:12    64055      4870   13.00  100.00  100.00    0.00    5.68    36    730.00      0.00 59570432 33594572  17.09      0.00 425628.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:13    64055      4870   10.00  100.00  100.00    0.00    5.46    36     21.00      0.00 59570432 33594572  17.09      0.00 449452.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:14    64055      4870   18.00   68.00  100.00    0.00    4.37    15    159.00      0.00 59570432 33594572  17.09      4.00 336184.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:15    64055      4870   23.00   74.00  100.00    1.00    5.29    15    960.00      0.00 59570432 33594572  17.09      0.00 425104.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:16    64055      4870   19.00   78.00  100.00    0.00    5.14    17     18.00      0.00 59570432 33594572  17.09      0.00 435028.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:17    64055      4870   15.00  100.00  100.00    0.00    5.70    17   1006.00      0.00 59570432 33594572  17.09      0.00 425944.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:18    64055      4870   18.00   98.00  100.00    0.00    5.71    46   1278.00      0.00 59570432 33594572  17.09      0.00 468480.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:19    64055      4870   11.00   98.00  100.00    0.00    5.74     0     43.00      0.00 59570432 33594572  17.09      0.00 479560.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:20    64055      4870   16.00   95.00  100.00    0.00    5.87     0     40.00      0.00 59570432 33594572  17.09      0.00 476700.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:21    64055      4870   20.00   84.00  100.00    1.00    5.46     0     19.00      0.00 59570432 33594572  17.09      0.00 436896.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:22    64055      4870   21.00   91.00  100.00    0.00    5.47     2   1838.00      0.00 59570432 33594572  17.09      0.00 410672.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:23    64055      4870   16.00   87.00  100.00    0.00    5.51     2   2633.00      0.00 59570432 33594572  17.09      0.00 421104.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:24    64055      4870   15.00  100.00  100.00    0.00    5.76     2   4067.00      0.00 59570432 33594572  17.09      0.00 438228.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:25    64055      4870   20.00  100.00  100.00    0.00    5.81     6   3921.00      0.00 59570432 33594572  17.09      0.00 436612.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:26    64055      4870   17.00   92.00  100.00    0.00    5.83     6   1048.00      0.00 59570432 33594572  17.09      0.00 454252.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:27    64055      4870   23.00   82.00  100.00    0.00    5.40    22     23.00      0.00 59570432 33594572  17.09      0.00 419836.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:28    64055      4870   12.00  100.00  100.00    0.00    5.50    22     34.00      0.00 59570432 33594572  17.09      0.00 420868.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:29    64055      4870   11.00   94.00  100.00    0.00    5.59    24    953.00      0.00 59570432 33594572  17.09      0.00 413992.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:30    64055      4870   24.00   85.00  100.00    0.00    5.46    40    928.00      0.00 59570432 33594572  17.09      0.00 407344.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:31    64055      4870   17.00   89.00  100.00    1.00    5.60    28   2459.00      0.00 59570432 33594572  17.09      0.00 424008.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:32    64055      4870    9.00   81.00  100.00    0.00    5.37    28    277.00      0.00 59570432 33594572  17.09      0.00 440572.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:33    64055      4870   20.00   87.00  100.00    0.00    5.56    28    513.00      0.00 59570432 33594572  17.09      0.00 452608.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:34    64055      4870   19.00   98.00  100.00    0.00    6.06    28    760.00      0.00 59570432 33594572  17.09      0.00 478212.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:35    64055      4870   27.00   88.00  100.00    0.00    6.19    28     88.00      0.00 59570432 33594572  17.09      0.00 526876.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:36    64055      4870   11.00   90.00  100.00    0.00    5.68    28   1217.00      0.00 59570432 33594572  17.09      0.00 473708.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:37    64055      4870   21.00  100.00  100.00    0.00    6.01    28   1623.00      0.00 59570432 33594572  17.09      0.00 462008.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:38    64055      4870    9.00  100.00  100.00    0.00    5.66    28    333.00      0.00 59570432 33594572  17.09      0.00 450888.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:39    64055      4870   24.00   74.00  100.00    0.00    6.05     2   1687.00      0.00 59570432 33594572  17.09      0.00 514956.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:40    64055      4870   19.00  100.00  100.00    0.00    6.05    12   2909.00      0.00 59570432 33594572  17.09      0.00 453752.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:41    64055      4870    6.00   88.00  100.00    0.00    5.41     2   1903.00      0.00 59570432 33594572  17.09      0.00 431616.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:42    64055      4870   22.00   73.00  100.00    1.00    5.27    10    380.00      0.00 59570432 33594572  17.09      0.00 457392.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:43    64055      4870   15.00  100.00  100.00    0.00    6.08    10   6264.00      0.00 59570432 33594572  17.09      0.00 490964.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:44    64055      4870   11.00  100.00  100.00    0.00    5.91    46    285.00      0.00 59570432 33594572  17.09      4.00 490712.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:28:45    64055      4870   14.00  100.00  100.00    0.00    5.73    46   1456.00      0.00 59570432 33594572  17.09      0.00 427816.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
