Linux 4.15.0-96-generic (team25-hw6) 	04/26/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:23    64055     27237    0.00    1.00  100.00    0.00    4.94    25   3462.00      0.00 13684444 8436188   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:24    64055     27237    0.00   17.00   48.00    0.00    1.31    32   1481.00      0.00 13684444 8436188   4.29      0.00      8.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:25    64055     27237    1.00   14.00   28.00    0.00    0.90    32   1831.00      0.00 13684444 8436188   4.29      0.00      4.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:26    64055     27237   10.00  100.00  100.00    0.00    7.49    32 112179.00      0.00 13684444 8436188   4.29      0.00    136.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:27    64055     27237   12.00  100.00  100.00    0.00    6.62    34  92301.00      0.00 13741816 8436260   4.29      0.00 131820.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:28    64055     27237    5.00  100.00  100.00    0.00    8.04    15  88562.00      0.00 13750012 8436260   4.29      0.00 217316.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:29    64055     27237   15.00  100.00  100.00    0.00    6.57    10  54942.00      0.00 13750012 8436260   4.29      0.00 179552.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:30    64055     27237    2.00   17.00   74.00    0.00    1.94    10   4798.00      0.00 13750012 8436260   4.29      0.00     40.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:31    64055     27237    3.00    5.00  100.00    0.00    5.01    10   2916.00      0.00 13750012 8436260   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:32    64055     27237    0.00    5.00  100.00    0.00    4.90    27   4168.00      0.00 13750012 8436260   4.29      0.00    184.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:33    64055     27237    0.00  100.00  100.00    0.00    5.56     8  27468.00      0.00 13807384 8436292   4.29      0.00 197732.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:34    64055     27237    4.00  100.00   95.00    0.00    5.70     1  23356.00      0.00 13807384 8436292   4.29      0.00 348148.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:35    64055     27237    3.00   19.00   14.00    0.00    0.75     1    196.00      0.00 13807384 8436292   4.29      0.00  21172.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:36    64055     27237    0.00   34.00  100.00    0.00    4.57    47   3445.00      0.00 13807384 8436292   4.29      0.00     20.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:37    64055     27237    2.00   14.00  100.00    0.00    3.73    22   4081.00      0.00 13807384 8436292   4.29      0.00    448.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:38    64055     27237    3.00   11.00   96.00    0.00    2.30    22  12716.00      0.00 13807384 8436292   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:39    64055     27237    1.00   34.00  100.00    0.00    3.19    22   5991.00      0.00 13807384 8436292   4.29      0.00 126236.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:40    64055     27237    3.00   42.00  100.00    0.00    4.80    41   7122.00      0.00 13807384 8436292   4.29      0.00 131688.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:41    64055     27237    1.00    3.00  100.00    0.00    5.55    41   1737.00      0.00 13807384 8436292   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:42    64055     27237    0.00   13.00  100.00    0.00    4.80    41   1520.00      0.00 13807384 8436292   4.29      0.00    316.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:43    64055     27237    3.00    3.00  100.00    0.00    3.82    41   4231.00      0.00 13807384 8436292   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:44    64055     27237    0.00    8.00  100.00    0.00    2.61    41   4925.00      0.00 13807384 8436292   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:45    64055     27237    0.00  100.00  100.00    0.00    7.92    22    665.00      0.00 13840168 8436292   4.29      0.00 344520.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:36:46    64055     27237    1.00    3.00  100.00    0.00    4.42    22    435.00      0.00 13840168 8436292   4.29      0.00      0.00      0.00       0  qemu-system-x86

