Linux 4.15.0-96-generic (team25-hw6) 	04/27/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:32    64055     14726    1.00    9.00  100.00    0.00    4.79    44      1.00      0.00 13917300 8437044   4.29      0.00      0.00      0.00       0  qemu-system-x86
07:26:32    64055     15040    1.00    0.00    0.00    0.00    0.02    24      0.00      0.00 11871828 4581288   2.33      0.00      0.00      0.00       0  qemu-system-x86
07:26:32    64055     15126    0.00    1.00    2.00    0.00    0.04     7      0.00      0.00 12685944 4103900   2.09      0.00     80.00      0.00       0  qemu-system-x86
07:26:32    64055     15212    0.00    1.00    2.00    0.00    0.04    25      0.00      0.00 12250620 8388356   4.27      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:33    64055     14726    3.00    4.00  100.00    0.00    5.34    46      6.00      0.00 13917300 8437044   4.29      0.00    576.00      0.00       0  qemu-system-x86
07:26:33    64055     15040    0.00    0.00    2.00    0.00    0.02    24      0.00      0.00 11871828 4581288   2.33      0.00      0.00      0.00       0  qemu-system-x86
07:26:33    64055     15126    0.00    0.00    1.00    0.00    0.02    11      0.00      0.00 12685944 4103900   2.09      0.00      0.00      0.00       0  qemu-system-x86
07:26:33    64055     15212    1.00   32.00    9.00    0.00    0.88    25     55.00      0.00 12307992 8388356   4.27      0.00 146604.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:34    64055     14726    2.00   47.00  100.00    0.00    4.37    34    252.00      0.00 13917300 8437044   4.29      0.00 131692.00      0.00       0  qemu-system-x86
07:26:34    64055     15040    0.00  100.00   21.00    0.00   12.28    39    150.00      0.00 12215024 4581532   2.33      0.00 611424.00      0.00       0  qemu-system-x86
07:26:34    64055     15126    0.00   30.00    4.00    0.00    0.69    37     57.00      0.00 12685944 4103900   2.09      0.00  82436.00      0.00       0  qemu-system-x86
07:26:34    64055     15212   19.00  100.00   20.00    0.00    6.29    25     24.00      0.00 12381756 8388356   4.27      0.00 448416.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:35    64055     14726    1.00  100.00  100.00    1.00    8.28    28    143.00      0.00 13917300 8437044   4.29      0.00 568052.00      0.00       0  qemu-system-x86
07:26:35    64055     15040    1.00    1.00    0.00    0.00    0.04    39      4.00      0.00 12215024 4581532   2.33      0.00      0.00      0.00       0  qemu-system-x86
07:26:35    64055     15126    0.00    1.00    0.00    0.00    0.02    37      0.00      0.00 12685944 4103900   2.09      0.00      0.00      0.00       0  qemu-system-x86
07:26:35    64055     15212    0.00    4.00    1.00    0.00    0.10    25      0.00      0.00 12381756 8388356   4.27      0.00     72.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:36    64055     14726    3.00    9.00    8.00    0.00    0.42    28      1.00      0.00 13917300 8437044   4.29      0.00      4.00      0.00       0  qemu-system-x86
07:26:36    64055     15040    0.00    0.00    2.00    0.00    0.04    39      6.00      0.00 12215024 4581532   2.33      0.00      0.00      0.00       0  qemu-system-x86
07:26:36    64055     15126    0.00    1.00    2.00    0.00    0.06    37      0.00      0.00 12685944 4103900   2.09      0.00      0.00      0.00       0  qemu-system-x86
07:26:36    64055     15212    0.00    4.00    4.00    0.00    0.13    25      0.00      0.00 12381756 8388356   4.27      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:37    64055     14726    0.00    5.00    6.00    0.00    0.21    28      1.00      0.00 13917300 8437044   4.29      0.00      0.00      0.00       0  qemu-system-x86
07:26:37    64055     15040    0.00    0.00    2.00    0.00    0.04    41      2.00      0.00 12215024 4581532   2.33      0.00      0.00      0.00       0  qemu-system-x86
07:26:37    64055     15126    1.00    0.00    0.00    0.00    0.02    37      0.00      0.00 12685944 4103900   2.09      0.00      0.00      0.00       0  qemu-system-x86
07:26:37    64055     15212    0.00    5.00    1.00    0.00    0.13    25      0.00      0.00 12381756 8388356   4.27      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:38    64055     14726    1.00    7.00    3.00    0.00    0.23    28      0.00      0.00 13917300 8437044   4.29      0.00     88.00      0.00       0  qemu-system-x86
07:26:38    64055     15040    0.00    0.00    2.00    0.00    0.02    41      0.00      0.00 12215024 4581532   2.33      0.00      0.00      0.00       0  qemu-system-x86
07:26:38    64055     15126    2.00    0.00    0.00    0.00    0.04    37      1.00      0.00 12685944 4103900   2.09      0.00      0.00      0.00       0  qemu-system-x86
07:26:38    64055     15212    1.00    2.00    1.00    0.00    0.08    25      0.00      0.00 12381756 8388356   4.27      0.00      4.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:39    64055     14726    2.00   26.00  100.00    0.00    4.44    14      1.00      0.00 13917300 8437044   4.29      0.00     36.00      0.00       0  qemu-system-x86
07:26:39    64055     15040    0.00   39.00   38.00    0.00    1.57    41     74.00      0.00 12215024 4581532   2.33      0.00     64.00      0.00       0  qemu-system-x86
07:26:39    64055     15126    0.00   20.00   18.00    0.00    0.77    37      0.00      0.00 12685944 4103900   2.09      0.00      0.00      0.00       0  qemu-system-x86
07:26:39    64055     15212    0.00    0.00    4.00    0.00    0.04    25      0.00      0.00 12381756 8388356   4.27      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:40    64055     14726    0.00   28.00   97.00    0.00    2.62     8     26.00      0.00 13917300 8437044   4.29      0.00  66636.00      0.00       0  qemu-system-x86
07:26:40    64055     15040    2.00   12.00   11.00    0.00    0.52    41     30.00      0.00 12215024 4581532   2.33      0.00      0.00      0.00       0  qemu-system-x86
07:26:40    64055     15126    1.00    3.00    1.00    0.00    0.10    37      1.00      0.00 12685944 4103900   2.09      0.00     64.00      0.00       0  qemu-system-x86
07:26:40    64055     15212    0.00    0.00    1.00    0.00    0.02    25      0.00      0.00 12381756 8388356   4.27      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:41    64055     14726    3.00   14.00  100.00    0.00    2.57     8     54.00      0.00 13917300 8437044   4.29    128.00    272.00      0.00       0  qemu-system-x86
07:26:41    64055     15040    0.00    2.00    3.00    0.00    0.10    26      1.00      0.00 12215024 4581532   2.33      0.00      4.00      0.00       0  qemu-system-x86
07:26:41    64055     15126    1.00    0.00    1.00    0.00    0.04    37     12.00      0.00 12685944 4103900   2.09      0.00      0.00      0.00       0  qemu-system-x86
07:26:41    64055     15212    0.00    2.00    1.00    0.00    0.04    25      0.00      0.00 12381756 8388356   4.27      0.00     12.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:26:42    64055     14726    2.00    5.00  100.00    0.00    3.59     8      7.00      0.00 13917300 8437044   4.29      0.00      0.00      0.00       0  qemu-system-x86
