Linux 4.15.0-96-generic (ubuntu) 	04/26/20 	_x86_64_	(4 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:06     1000      3650    9.00   90.00    0.00    0.00   25.13     0 177623.00      1.00 4854700  712128   8.72 539856.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:07     1000      3650    8.00   91.00    0.00    0.00   24.75     0 179482.00      0.00 4854700 1430208  17.51 545444.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:08     1000      3650    8.00   91.00    0.00    0.00   24.87     0 173128.00      0.00 4854700 2122680  25.99 526140.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:09     1000      3650    8.00   91.00    0.00    1.00   25.06     0 182687.00      0.00 4854700 2853432  34.94 552164.00      0.00      0.00       1  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:10     1000      3650  100.00   29.00    0.00    0.00   73.25     0 112880.00      0.00 4944824 3304912  40.46 308376.00      0.00      0.00       2  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:11     1000      3650  100.00    0.00    0.00    0.00   99.50     0  12357.00      0.00 4944824 3354016  41.07      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:12     1000      3650  100.00    0.00    0.00    0.00   99.50     0   2314.00      0.00 4944824 3362992  41.17      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:13     1000      3650  100.00    2.00    0.00    1.00   99.25     0  16224.00      0.00 4944824 3428200  41.97      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:14     1000      3650  100.00    2.00    0.00    0.00   99.50     0   8493.00      0.00 4944824 3462256  42.39      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:15     1000      3650  100.00    0.00    0.00    0.00   99.25     0      0.00      0.00 4944824 3462256  42.39      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:16     1000      3650  100.00    1.00    0.00    1.00  100.00     0   3911.00      0.00 4944824 3477832  42.58      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:17     1000      3650  100.00    3.00    0.00    0.00   99.50     0  10304.00      0.00 4944824 3519016  43.09      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:18     1000      3650  100.00    0.00    0.00    0.00   99.75     0   6647.00      0.00 4944824 3545416  43.41      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:19     1000      3650  100.00    1.00    0.00    1.00   99.25     0  13127.00      0.00 4944824 3597952  44.05      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:20     1000      3650  100.00    2.00    0.00    0.00  100.00     0   7584.00      0.00 4944824 3628312  44.42      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:21     1000      3650  100.00    1.00    0.00    0.00   99.50     0   7860.00      0.00 4944824 3659728  44.81      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:22     1000      3650  100.00    6.00    0.00    0.00   99.25     0  28897.00      0.00 4944824 3775360  46.22      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:23     1000      3650  100.00    9.00    0.00    1.00   98.50     0  56992.00      0.00 4944824 4003456  49.02      0.00      0.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:24     1000      3650  100.00    5.00    0.00    0.00   63.66     0  17617.00      0.00 4944824 4073944  49.88      0.00  15568.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:25     1000      3650  100.00   13.00    0.00    0.00   37.06     0   5406.00      0.00 4944824 4095328  50.14      0.00 161488.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:26     1000      3650  100.00   17.00    0.00    2.00   44.84     0   8497.00      0.00 4944824 4129384  50.56      0.00 158868.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:27     1000      3650  100.00   18.00    0.00    1.00   35.61     1   6179.00      0.00 4944824 4154464  50.87      0.00 166316.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:28     1000      3650  100.00   17.00    0.00    2.00   40.45     0  18019.00      0.00 4944824 4226272  51.74      0.00 154212.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:29     1000      3650  100.00   17.00    0.00    1.00   38.99     2  17694.00      0.00 4944824 4297288  52.61      0.00 154320.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:30     1000      3650  100.00   16.83    0.00    0.99   36.84     2  18899.01      0.00 4944824 4373320  53.54      0.00 153097.03      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:31     1000      3650  100.00   16.00    0.00    4.00   38.54     2  17312.00      0.00 4944824 4442752  54.40      0.00 154352.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:32     1000      3650  100.00   24.00    0.00    2.00   41.71     3   9759.00      0.00 4944824 4481560  54.87      0.00 183076.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:33     1000      3650  100.00   15.00    0.00    2.00   40.61     2   7214.00      0.00 4944824 4510336  55.22      0.00 164668.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:34     1000      3650  100.00   17.00    0.00    2.00   39.45     2  10955.00      0.00 4944824 4554156  55.76      0.00 154480.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:35     1000      3650  100.00   19.00    0.00    4.00   44.44     1  17354.00      0.00 4944824 4623568  56.61      0.00 157976.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:36     1000      3650  100.00   17.00    0.00    3.00   37.37     0  16213.00      0.00 4944824 4688508  57.40      0.00 170692.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:37     1000      3650  100.00   19.00    0.00    5.00   37.69     2  20209.00      0.00 4944824 4769796  58.40      0.00 134816.00      0.00       0  sort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:21:39     1000      3650   56.88   16.25    0.00    3.12   18.34     3   6211.25      3.75 4944824 4807444  58.86    390.00  91185.00      0.00       0  sort

