Linux 4.15.0-96-generic (ubuntu) 	04/26/20 	_x86_64_	(4 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:08:37     1000     21501   33.00   65.00    0.00    0.00   24.75     1 218719.00      0.00  888508  877684  10.75 222960.00      4.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:08:38     1000     21501   54.00   46.00    0.00    0.00   25.19     1 130167.00      0.00 1409116 1398556  17.12 464896.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:08:39     1000     21501   49.00   50.00    0.00    0.00   25.06     1 130530.00      0.00 1931308 1920484  23.51 466176.00      0.00      0.00       1  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:08:40     1000     21501   48.00   51.00    0.00    1.00   25.00     2 112017.00      0.00 2379316 2368756  29.00 400000.00      0.00      0.00       0  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:08:41     1000     21501   36.00   63.00    0.00    1.00   25.06     2 103978.00      0.00 2795248 2784556  34.09 371328.00      0.00      0.00       1  mySort

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:08:42     1000     21501   97.00    2.00    0.00    0.00   24.94     2   7824.00      0.00 2826532 2815972  34.48  27904.00      0.00      0.00       0  mySort

