Linux 4.15.0-96-generic (team25-hw6) 	04/26/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:50    64055     27237    3.00   28.00  100.00    1.00    3.05     2   5171.00      0.00 13979468 8436476   4.29      0.00     32.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:51    64055     27237    1.00    7.00  100.00    0.00    4.61     4   1666.00      0.00 13979468 8436476   4.29      0.00    396.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:52    64055     27237    1.00    2.00  100.00    0.00    4.92    29    983.00      0.00 13979468 8436476   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:53    64055     27237    4.00   17.00  100.00    0.00    2.86     1    194.00      0.00 13979468 8436476   4.29      0.00  74908.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:54    64055     27237    2.00  100.00  100.00    0.00    5.28    13   1169.00      0.00 13979468 8436476   4.29      0.00 347472.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:55    64055     27237    5.00  100.00   17.00    0.00    2.57    13    179.00      0.00 13979468 8436476   4.29      0.00 145620.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:56    64055     27237    0.00   23.00  100.00    0.00    3.46    23   1277.00      0.00 13979468 8436476   4.29      0.00     24.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:57    64055     27237    0.00   21.00  100.00    0.00    3.54    20   4172.00      0.00 13979468 8436476   4.29      0.00    440.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:58    64055     27237    0.00   11.00   74.00    0.00    1.75    31  15210.00      0.00 13979468 8436476   4.29      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:49:59    64055     27237    3.00   13.00  100.00    0.00    2.75    31   4852.00      0.00 13979468 8436476   4.29      0.00  43240.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:50:00    64055     27237    2.00   31.00  100.00    0.00    4.42    21   4110.00      0.00 13979468 8436476   4.29      0.00 102640.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
