Linux 4.15.0-96-generic (team25-hw6) 	04/27/20 	_x86_64_	(48 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:44    64055     14726    0.00   19.00  100.00    0.00    3.03     3    200.00      0.00 10998616 4833988   2.46      0.00     32.00      0.00       0  qemu-system-x86
07:17:44    64055     15040    0.00    0.00    1.00    0.00    0.02    46      0.00      0.00 10293792 1492784   0.76      0.00     20.00      0.00       0  qemu-system-x86
07:17:44    64055     15126    0.00    0.00    2.00    0.00    0.04    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:44    64055     15212    0.00    0.00    2.00    0.00    0.04    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:45    64055     14726    4.00    7.00  100.00    0.00    5.26     5      1.00      0.00 10998616 4833988   2.46      0.00    160.00      0.00       0  qemu-system-x86
07:17:45    64055     15040    1.00    0.00    2.00    0.00    0.06    46      0.00      0.00 10293792 1492784   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:45    64055     15126    0.00    0.00    2.00    0.00    0.04    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:45    64055     15212    0.00    0.00    2.00    0.00    0.02    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:46    64055     14726    0.00    6.00  100.00    0.00    4.59     5    123.00      0.00 10998616 4833988   2.46      0.00      8.00      0.00       0  qemu-system-x86
07:17:46    64055     15040    0.00    0.00    1.00    0.00    0.02    46      0.00      0.00 10293792 1492784   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:46    64055     15126    1.00    0.00    0.00    0.00    0.02    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:46    64055     15212    0.00    1.00    2.00    0.00    0.04    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:47    64055     14726    0.00  100.00  100.00    0.00    5.24    41     42.00      0.00 11514740 4836036   2.46      0.00 177160.00      0.00       0  qemu-system-x86
07:17:47    64055     15040    0.00    0.00    1.00    0.00    0.02    21      0.00      0.00 10293792 1492784   0.76      0.00     12.00      0.00       0  qemu-system-x86
07:17:47    64055     15126    2.00    0.00    0.00    0.00    0.04    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:47    64055     15212    0.00    0.00    2.00    0.00    0.04    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:48    64055     14726    0.00  100.00   76.00    0.00    5.67    41    136.00      0.00 11514740 4836108   2.46      0.00 237216.00      0.00       0  qemu-system-x86
07:17:48    64055     15040    1.00    0.00    1.00    0.00    0.04    21      0.00      0.00 10293792 1492784   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:48    64055     15126    0.00    0.00    2.00    0.00    0.04    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:48    64055     15212    0.00    0.00    1.00    0.00    0.02    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:49    64055     14726    1.00   12.00   65.00    0.00    1.63    41      3.00      0.00 11514740 4838156   2.46      0.00      8.00      0.00       0  qemu-system-x86
07:17:49    64055     15040    0.00    1.00    1.00    0.00    0.04    21      0.00      0.00 10293792 1492796   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:49    64055     15126    0.00    0.00    2.00    0.00    0.02    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:49    64055     15212    1.00    1.00    0.00    0.00    0.04    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:50    64055     14726    6.00   38.00  100.00    0.00    5.24    19    135.00      0.00 11514740 4838156   2.46     72.00    428.00      0.00       0  qemu-system-x86
07:17:50    64055     15040    0.00    0.00    1.00    0.00    0.02    21      0.00      0.00 10293792 1492796   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:50    64055     15126    1.00    1.00    0.00    0.00    0.04    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:50    64055     15212    0.00    1.00    4.00    0.00    0.06    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:51    64055     14726    0.00    2.00   74.00    0.00    1.59    19      2.00      0.00 11514740 4838156   2.46      8.00     12.00      0.00       0  qemu-system-x86
07:17:51    64055     15040    0.00    0.00    2.00    0.00    0.04    21      0.00      0.00 10293792 1492796   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:51    64055     15126    2.00    0.00    1.00    0.00    0.06    45      0.00      0.00 10244560 1488196   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:51    64055     15212    0.00    0.00    1.00    0.00    0.02    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:52    64055     14726    2.00    6.00   55.00    0.00    1.32    19    139.00      0.00 11514740 4838156   2.46      0.00      0.00      0.00       0  qemu-system-x86
07:17:52    64055     15040    1.00    1.00    1.00    0.00    0.06    21      0.00      0.00 10293792 1492796   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:52    64055     15126    0.00    2.00  100.00    0.00    2.48     4      3.00      0.00 10244560 1490244   0.76     56.00      0.00      0.00       0  qemu-system-x86
07:17:52    64055     15212    0.00    0.00    2.00    0.00    0.04    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:53    64055     14726    4.00    5.00   32.00    0.00    0.86    19      2.00      0.00 11514740 4838156   2.46      0.00      0.00      0.00       0  qemu-system-x86
07:17:53    64055     15040    0.00    0.00    2.00    0.00    0.04    23      0.00      0.00 10293792 1492796   0.76      0.00      0.00      0.00       0  qemu-system-x86
07:17:53    64055     15126    2.00    4.00  100.00    0.00    3.55     4     53.00      0.00 10244560 1592644   0.81      0.00      0.00      0.00       0  qemu-system-x86
07:17:53    64055     15212    0.00    2.00    3.00    0.00    0.06    34      0.00      0.00 10251756 1500784   0.76      0.00      0.00      0.00       0  qemu-system-x86

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:17:54    64055     14726    5.00    9.00   39.00    0.00    1.11    19     89.00      0.00 11514740 4838156   2.46      0.00      0.00      0.00       0  qemu-system-x86
